Source,Target,Weight,Mission Report Id,Mission Report Title,Mission Brief Id,Mission Brief Title,Campaign Id,Campaign Title
"10","796","<[2012-05-12T17:25:11.000, 2015-02-06T16:25:11.000, 1]>",,,,,,
"290","716","<[2012-05-14T22:19:46.000, 2015-02-08T21:19:46.000, 1]>",,,,,,
"63","4","<[2012-03-06T15:47:09.000, 2014-12-01T15:47:09.000, 1]>",,,,,,
"8","9","<[2011-11-23T12:08:57.000, 2011-12-16T01:05:00.000, 1); [2011-12-16T01:05:00.000, 2011-12-16T01:11:34.000, 2); [2011-12-16T01:11:34.000, 2014-08-19T13:08:57.000, 3); [2014-08-19T13:08:57.000, 2014-09-11T02:05:00.000, 2); [2014-09-11T02:05:00.000, 2014-09-11T02:11:34.000, 1]>",,,,,,
"737","468","<[2012-06-07T16:33:10.000, 2015-03-04T15:33:10.000, 1]>",,,,,,
"37","674","<[2012-06-12T10:12:08.000, 2015-03-09T09:12:08.000, 1]>",,,,,,
"655","207","<[2012-05-15T11:52:30.000, 2012-05-16T12:43:55.000, 1); [2012-05-16T12:43:55.000, 2015-02-09T10:52:30.000, 2); [2015-02-09T10:52:30.000, 2015-02-10T11:43:55.000, 1]>",,,,,,
"10","521","<[2012-04-19T14:34:48.000, 2015-01-14T13:34:48.000, 1]>",,,,,,
"266","266","<[2012-04-13T12:57:05.000, 2012-07-11T18:27:46.000, 1); [2012-07-11T18:27:46.000, 2012-07-20T16:11:54.000, 2); [2012-07-20T16:11:54.000, 2012-08-09T14:23:10.000, 3); [2012-08-09T14:23:10.000, 2015-01-08T11:57:05.000, 4); [2015-01-08T11:57:05.000, 2015-04-07T18:27:46.000, 3); [2015-04-07T18:27:46.000, 2015-04-16T16:11:54.000, 2); [2015-04-16T16:11:54.000, 2015-05-06T14:23:10.000, 1]>",,,,,,
"351","10","<[2012-02-16T19:24:42.000, 2012-03-05T11:38:03.000, 1); [2012-03-05T11:38:03.000, 2014-11-12T19:24:42.000, 2); [2014-11-12T19:24:42.000, 2014-11-30T11:38:03.000, 1]>",,,,,,
"64","536","<[2012-03-04T19:51:21.000, 2012-04-07T15:26:10.000, 1); [2012-04-07T15:26:10.000, 2012-04-12T21:33:00.000, 2); [2012-04-12T21:33:00.000, 2012-04-13T21:30:34.000, 3); [2012-04-13T21:30:34.000, 2012-04-16T21:04:26.000, 4); [2012-04-16T21:04:26.000, 2012-04-17T19:58:49.000, 5); [2012-04-17T19:58:49.000, 2012-04-17T20:01:59.000, 6); [2012-04-17T20:01:59.000, 2012-04-20T20:44:06.000, 7); [2012-04-20T20:44:06.000, 2014-11-29T19:51:21.000, 8); [2014-11-29T19:51:21.000, 2015-01-02T14:26:10.000, 7); [2015-01-02T14:26:10.000, 2015-01-07T20:33:00.000, 6); [2015-01-07T20:33:00.000, 2015-01-08T20:30:34.000, 5); [2015-01-08T20:30:34.000, 2015-01-11T20:04:26.000, 4); [2015-01-11T20:04:26.000, 2015-01-12T18:58:49.000, 3); [2015-01-12T18:58:49.000, 2015-01-12T19:01:59.000, 2); [2015-01-12T19:01:59.000, 2015-01-15T19:44:06.000, 1]>",,,,,,
"1021","203","<[2012-06-12T16:34:44.000, 2012-06-12T16:41:39.000, 1); [2012-06-12T16:41:39.000, 2015-03-09T15:34:44.000, 2); [2015-03-09T15:34:44.000, 2015-03-09T15:41:39.000, 1]>",,,,,,
"8","912","<[2012-08-09T18:02:20.000, 2015-05-06T18:02:20.000, 1]>",,,,,,
